,Name,Address
0,INVESTMENT REALTY CO INC,**** CONDO MAIN ********* ATTLEBORO MA
1,DIAZ EDINSON N,****** CONDO MAIN ********* WALTHAM MA
2,MAYNARD JESSE R & SHANNON M,*******  CONDON MANI ********* ATTLEBORO MA
3,WOODLARK DEVELOPMENT CORP,******* CONDO MAIN ********* ATTLEBORO FALLS MA
4,MCGOVERN CONSTRUCTION CO INC,**********CONDO MAIN********** ATTLEBORO MA
5,UNITED PENTECOSTAL CHURCH,0175 SO MAIN ST ATTLEBORO MA
6,UNITED CHURCH OF CHRIST,10 BEDFORD ST ABINGTON MA
7,COMMUNITY HEALTH SYSTEMS INC,10 EMORY ST ATTLEBORO MA
8,COMMONWEALTH OF MASS,10 PARK PLAZA - ROOM 6160 BOSTON MA
9,COMMONWEALTH OF MASS,10 PARK PLAZA - ROOM 6160 BOSTON MA
10,M B T A,10 PARK PLAZA BOSTON MA
11,COMM OF MASS,100 CAMBRIDGE STREET BOSTON MA
12,NEW HEART & NEW SPIRIT EVANGELICAL CHURC,1056 OAK HILL AVE ATTLEBORO MA
13,PRINCE HALL,1095 TREMONT ST BOSTON MA
14,LONGYEAR FOUNDATION,1125 BOYLSTON ST CHESTNUT HILL MA
15,TRINITY BAPTIST CHURCH,115 MASS AVE ARLINGTON MA
16,ROMAN CATHOLIC ARCH OF BOS,1175 CONCORD TURNPIKE ARLINGTON MA
17,ROMAN CATHOLIC ARCH OF BOS,1175-A CONCORD TPKE ARLINGTON MA
18,1188 SOUTH MAIN STREET LLC,1188 SOUTH MAIN ST ATTLEBORO MA
19,FIRST UNITED METHODIST CHURCH,12 BELMONT ST AMESBURY MA
20,AMESBURY MONTHLY MEETING,120 FRIEND ST AMESBURY MA
21,ST JAMES CHURCH,120 MAIN ST AMESBURY MA
22,ST JAMES EPISCOP CHURCH SOC,120 MAIN ST AMESBURY MA
23,THE CHILDRENS CENTER,1210 MASS AVE ARLINGTON MA
24,CENTER FOR JEWISH LIFE OF,129 LAKE ST ARLINGTON MA
25,PROTESTANT EPISCOPAL CHURCH,138 TREMONT ST BOSTON MA
26,CONVENT OF SAINT ANNE,14 CLAREMONT AVENUE ARLINGTON MA
27,FIRST METHODIST CHURCH SOC,140 MAIN STREET AMESBURY MA
28,METHODIST CHURCH SOCIETY,142 MAIN ST AMESBURY MA
29,MAIN ST CONGREG CH OF AMES,145 MAIN ST AMESBURY MA
30,MAIN ST CONGREG CH OF AMES,145 MAIN ST AMESBURY MA
31,SAINT MARK COPTIC ORTHODOX,145 OAK ST NATICK MA
32,THE GREEK ORTHODOX CHURCH,15 APPLETON PL ARLINGTON MA
33,THE GREEK ORTHODOX CHURCH,15 APPLETON PL ARLINGTON MA
34,COLUMBUS CLUB INC,15 WINSLOW ST ARLINGTON MA
35,COLUMBUS CLUB INC,15 WINSLOW ST ARLINGTON MA
36,CARITAS COMMUNITIES  INC,150 WOOD ROAD SUITE 300 BRAINTREE MA
37,SCHWAMB MILL PRESERVATION,17 MILL LANE ARLINGTON MA
38,CO-OP FOR HUMAN SERVICES,17 NEW ENGLAND EXECUTIVE BURLINGTON MA
39,BEREAN BAPTIST CHURCH,171 UNION ST ATTLEBORO MA
40,S N E CONF ASC OF7TH DAY ADVE,173 MAIN ST AMESBURY MA
41,CATHOLIC CEMETARY ASSOC,175 BROADWAY MALDEN MA
42,GERMAINE LAWRENCE SCHOOL,18 CLAREMONT AVE ARLINGTON MA
43,GERMAINE LAWRENCE SCHOOL,18 CLAREMONT AVE ARLINGTON MA
44,GERMAINE LAWRENCE SCHOOL,18 CLAREMONT AVE ARLINGTON MA
45,GERMAINE LAWRENCE SCHOOL,18 CLAREMONT AVE ARLINGTON MA
46,GERMAINE LAWRENCE INC,18 CLAREMONT AVENUE ARLINGTON MA
47,ORDER OF SAINT ANNE,18 CLAREMONT AVENUE ARLINGTON MA
48,PARK AVE CONG CHURCH,18 HILLSIDE AVE ARLINGTON MA
49,BARTLETT CEMETERY ASSOC,18 KENDRICKS CT AMESBURY MA
50,BARTLETT CEMETERY ASSOC,18 KENDRICKS CT AMESBURY MA
51,AMESBURY HOUSING AUTHORITY,180 MAIN ST AMESBURY MA
52,AMESBURY HOUSING AUTHORITY,180 MAIN ST AMESBURY MA
53,AMESBURY HOUSING AUTHORITY,180 MAIN ST AMESBURY MA
54,AMESBURY HOUSING AUTHORITY,180 MAIN STREET AMESBURY MA
55,AMESBURY HOUSING AUTHORITY,180 MAIN STREET AMESBURY MA
56,AMESBURY HOUSING AUTHORITY,180 MAIN STREET AMESBURY MA
